,,,2.032,0.0512
,,,2.034,0.0512
,,,2.036,0.0504
,,,2.038,0.0456
,,,2.04,0.04
,,,2.042,0.0328
,,,2.044,0.024
,,,2.046,0.0152
,,,2.048,0.0056
,,,2.05,-0.0048
,,,2.052,-0.016
,,,2.054,-0.024
,,,2.056,-0.0328
,,,2.058,-0.0408
,,,2.06,-0.0472
,,,2.062,-0.0512
,,,2.064,-0.0544
,,,2.066,-0.056
,,,2.068,-0.0544
,,,2.07,-0.0504
,,,2.072,-0.0456
,,,2.074,-0.0384
,,,2.076,-0.0304
,,,2.078,-0.0224
,,,2.08,-0.0128
,,,2.082,-0.0048
,,,2.084,0.0032
,,,2.086,0.0112
,,,2.088,0.0192
,,,2.09,0.0272
,,,2.092,0.0344
,,,2.094,0.0408
,,,2.096,0.0464
,,,2.098,0.0496
,,,2.1,0.0512
,,,2.102,0.052
,,,2.104,0.0496
,,,2.106,0.0488
,,,2.108,0.044
,,,2.11,0.0384
,,,2.112,0.0312
,,,2.114,0.024
,,,2.116,0.016
,,,2.118,0.0056
,,,2.12,-0.004
,,,2.122,-0.0144
,,,2.124,-0.0248
,,,2.126,-0.0344
,,,2.128,-0.0416
,,,2.13,-0.0472
,,,2.132,-0.052
,,,2.134,-0.0528
,,,2.136,-0.0528
,,,2.138,-0.052
,,,2.14,-0.0472
,,,2.142,-0.044
,,,2.144,-0.0384
,,,2.146,-0.0312
,,,2.148,-0.0216
,,,2.15,-0.0144
,,,2.152,-0.0056
,,,2.154,0.004
,,,2.156,0.0128
,,,2.158,0.0208
,,,2.16,0.028
,,,2.162,0.0336
,,,2.164,0.0376
,,,2.166,0.0432
